BV号,标题,UP主,UP主ID,播放量,弹幕数,点赞数,投币数,收藏数,分享数,时长秒,发布时间戳,分区,简介,排行榜分区,点赞率,投币率,收藏率,发布日期,时长分钟
BV1hoZqYkEp3,【鸣潮摄影】震撼圈外人，二游场景已经进化成这样了吗？!,洛灯盏,52836988,883203,579,74560,13871,17412,6403,224,1743325200,手机游戏,-,游戏,0.08442000310234453,0.01570533614582378,0.019714606947666618,2025-03-30 09:00:00,3.7333333333333334
BV19RZEYcEBx,爆肝200小时！诚意巨制《死亡搁浅》电影版,凯文不是大叔,24738225,981564,4061,64665,48253,59504,6597,4164,1743501600,单机游戏,"“逐帧剪辑，聚焦故事核心。”

剧情梳理：凯文不是大叔 疯不觉Cool
剪辑/额外镜头拍摄：凯文不是大叔
动作演员：疯不觉Cool
字幕：小玄月啦

-------------------------",游戏,0.06587955548491999,0.049159300870855085,0.060621620189819515,2025-04-01 10:00:00,69.4
BV1n8ZvYpE1b,番茄赤石天花板！《白蛇》：这是人类能写出来的小说？？？【赤石网文02】,千月的书屋,313507,2997011,12088,107374,4442,24990,18199,737,1743300607,单机游戏,道爷我成辣！哈哈哈哈,游戏,0.0358270289965569,0.001482143375516473,0.008338307733938915,2025-03-30 02:10:07,12.283333333333333
BV1FufKYMEQ3,木叶特别情报，宇智波泉奈技能抢先看！,火影忍者手游情报君,441897078,1201527,22065,24885,985,3334,3232,516,1743597655,手机游戏,多重斩击看穿破绽，完美格挡利刃出鞘，宇智波流剑术高手宇智波泉奈免费送！泉奈技能抢先看！,游戏,0.020711145067901095,0.0008197901503669914,0.002774802397282791,2025-04-02 12:40:55,8.6
BV1hSZHYwEP2,我的世界：替代品危机之黎明的反击,哎呀是小米蕉wow,35176176,2813631,65,3959,675,23203,67,497,1743462000,网络游戏,我的世界：替代品危机之黎明的反击,游戏,0.0014070786112322475,0.00023990352679509146,0.008246639307002233,2025-03-31 23:00:00,8.283333333333333
BV1GWZnYcELC,新干员终于来啦！突击位里唯一的残疾登场！鼠不如蜂医，攻不如花来威龙「三角洲行动」,Key725,11332884,881449,1183,19816,320,2216,4291,257,1743413501,网络游戏,,游戏,0.02248116453702937,0.00036303858759837495,0.0025140422191187463,2025-03-31 09:31:41,4.283333333333333
BV1seZEY1EPS,充满遗憾！燕云河西版本到底讲了什么？,利维坦mY,7946432,611178,1344,26558,5556,4752,2071,440,1743413400,手机游戏,"燕云这次的新地图，大家都玩了吗？
这期就一次讲明白隐藏暗线！",游戏,0.04345378923979593,0.009090641351619333,0.007775148974603144,2025-03-31 09:30:00,7.333333333333333
BV1jbZbYfECH,盖伦的公式对线,峡谷混学家,2119811581,1194639,1141,50127,4808,1617,590,318,1743501600,电子竞技,大家愚人节快乐！如果看的开心别忘了给个三连！！！！！,游戏,0.04195995610389415,0.004024646776139068,0.0013535469710933595,2025-04-01 10:00:00,5.3
BV15oZ8Y8ERG,斥巨资暴力拿下金色大象！皮卡新皮肤测评来咯！,错眉,255117360,529627,1209,48382,28915,3344,1150,1864,1743509399,手机游戏,"BGM：XAN$X - PSYCHEDELIC/Max Oazo,Moonessa - Once Upon A Time (House Mix)/PUUSUN - Bushido (武士道)/Toby",游戏,0.09135108293195023,0.054595026310969796,0.006313877502468718,2025-04-01 12:09:59,31.066666666666666
BV1GqZbYWEM5,【A隐】雷霆半月斩最细教学,拉不住你的心弦,510286136,1442952,385,84655,7629,70822,6229,167,1743493588,手机游戏,,游戏,0.058667925197788975,0.005287078156445952,0.04908132772261309,2025-04-01 07:46:28,2.783333333333333
BV1uaZpYYEYL,【火兰短报】甲亢哥中国游，永劫春季赛，上周发生了什么乐子？,火兰朋克,508215481,681338,2109,24015,4686,2166,675,825,1743427751,电子竞技,,游戏,0.035246823162659355,0.006877643695199739,0.003179038891123055,2025-03-31 13:29:11,13.75
BV1qgZrY8EHC,一个营造恐怖氛围的模组被我玩成了CQB模组,灵厄是狼,457287066,1045893,276,39997,331,5023,483,106,1743341809,单机游戏,,游戏,0.03824196165382118,0.00031647596838299904,0.00480259452926829,2025-03-30 13:36:49,1.7666666666666666
BV1hXZcYzE3K,吕布你敢不敢躲草丛里突然跳出来吓大货车一跳,风槐a,1712876366,3610943,414,252926,4693,42959,13677,85,1743234108,电子竞技,-,游戏,0.07004430698573752,0.0012996605041951646,0.01189689230763266,2025-03-29 07:41:48,1.4166666666666667
BV1FFZ8YBEZY,《原神》希诺宁、西特菈莉绝对是影帝级的！阿乔真的太惨了,一位旅行者的账号,507761646,406262,163,45447,664,18003,664,97,1743490741,GMV,-,游戏,0.1118662341050849,0.001634413260408308,0.04431376796254634,2025-04-01 06:59:01,1.6166666666666667
BV1woZbY6Eeo,你知道小丑阿巴为什么说想要永远守护斯黛拉吗？,蛋仔阿查,3493298448632004,3939896,125,17498,11944,135871,70,104,1743490300,手机游戏,-,游戏,0.004441233981810688,0.003031552101882892,0.034485935669367924,2025-04-01 06:51:40,1.7333333333333334
BV1KuZ6YGEN7,0号大坝来袭，扶贫炸裂内容来袭,老6理包霍金,1280231019,3239546,706,44461,1806,20038,373,681,1743489808,网络游戏,二哈电竞缺打手，跑刀崽，3X3专业选手，太缺了,游戏,0.013724453982132064,0.0005574855242061696,0.006185434625716073,2025-04-01 06:43:28,11.35
BV1G8ZsYkEUG,【怪物猎人荒野】什么？荒野里有爆鳞龙？,TeamDarkside,399710787,1330449,498,38522,2345,5390,22470,102,1743494400,单机游戏,"火龙：你们相信我，我真在绯红森林遇到爆鳞龙了！

愚人节整活视频，希望你们喜欢！",游戏,0.028954135032609293,0.0017625628641157985,0.004051263896624373,2025-04-01 08:00:00,1.7
BV1ASZ4YqE21,明日S14开服玩什么？11套强势阵容推荐！【云顶之弈】【金铲铲之战】,林小北Lindo,18343134,850323,226,14391,2277,6223,3039,280,1743503400,电子竞技,"如果有帮助不要忘记3连哦！
不知道玩什么的
可以关注公众号林小北Lindo
新赛季阿北会第一时间
更新可以玩的阵容推荐",游戏,0.016924157055612985,0.0026778059631457694,0.007318395480305719,2025-04-01 10:30:00,4.666666666666667
BV1T3ZJYnEiZ,蛋仔派对：冈易你就跟玩家学吧！这才是玩家想要的福利！,醒醒点灯呐,1539373863,1073274,11,19295,3015,95614,46,125,1743411000,手机游戏,蛋仔派对：冈易你就跟玩家学吧！这才是玩家想要的福利！,游戏,0.017977701872960678,0.0028091615002320005,0.08908629110553316,2025-03-31 08:50:00,2.0833333333333335
BV1i3ZEYhEDV,迅如疾风，动若雷霆！战场上的红色战神！-远见传奇【达奇】战锤40K故事,达奇上校,157761,730533,7021,29484,11218,5370,1022,1598,1743418800,单机游戏,"喜欢我的话，可以看看我的其他系列作品哟哟
关注不迷路：https://space.bilibili.com/157761/video
科幻电影系列：https://www.bilibili.com/v",游戏,0.04035957307883422,0.01535591136882249,0.007350797294578069,2025-03-31 11:00:00,26.633333333333333
BV1H6ZuYSEYh,《镭明闪击》塔攻测试PV：你为人类盗来火种，人类可曾歌颂过你？,镭明闪击官方,538904132,971894,98,13618,1263,4866,589,72,1743559200,单机游戏,"“你为人类盗来火种，人类可曾歌颂过你？”
如今，战火再起，点亮泽诺斯号
残破的世界依旧呼唤着那位曾为希望而战的英雄
“英雄之所以为英雄，不在于身份而在于选择”
「塔攻测试」即将于4月10日正式开启
测",游戏,0.014011816103402222,0.001299524433734543,0.005006718839708857,2025-04-02 02:00:00,1.2
BV1sPZfYtEbH,新赛季典韦出装铭文！,贝利亚--倪岚,509709423,1463375,67,35895,5026,89908,570,88,1743532222,电子竞技,-,游戏,0.024528914324762962,0.00343452635175536,0.061438797300760226,2025-04-01 18:30:22,1.4666666666666666
BV1nKZpYnEXy,三国杀up锐评新三国82：竟然不许！！！,吃蛋挞的折棒,8878219,1393376,12732,36709,21592,4104,892,1357,1743472800,桌游棋牌,-,游戏,0.026345365500769356,0.015496176193647659,0.0029453643524791585,2025-04-01 02:00:00,22.616666666666667
